Steady-state region,,PRESSURE IN PSIG,,,,,,,,,,,,
Sample,Time (ms),CHAN1,CHAN2,CHAN3,CHAN4,CHAN5,CHAN6,CHAN7,CHAN8,CHAN9,CHAN10,CHAN11,CHAN12,CHAN13
3720,29760,48.30586,23.25932,5.711533,-0.6826073,-3.894288,-6.255395,-7.992839,-8.427483,-9.487479,-6.807104,3.057625,4.035864,12.50256
3721,29768,48.3665,23.40742,5.811235,-0.6355308,-3.858325,-6.235298,-7.962601,-8.42238,-9.473133,-6.68482,3.574687,4.299584,12.47877
3722,29776,48.36099,23.53965,5.839722,-0.6025773,-3.853188,-6.180029,-7.952522,-8.386671,-9.468351,-7.199429,3.773557,4.657491,13.04988
3723,29784,48.48227,23.53965,5.939425,-0.5978698,-3.822362,-6.180029,-7.937403,-8.396874,-9.454005,-7.077146,3.664178,4.676328,12.35027
3724,29792,48.72484,23.60842,6.029632,-0.5460857,-3.791537,-6.180029,-7.927324,-8.371367,-9.444442,-6.195687,3.30124,4.389061,12.99752
3725,29800,48.77997,23.63486,6.029632,-0.51784,-3.760711,-6.149883,-7.922285,-8.361164,-9.434877,-6.521776,3.544856,4.412607,13.05464
3726,29808,48.87369,23.73536,6.086604,-0.4848865,-3.735023,-6.159932,-7.892046,-8.356063,-9.439659,-6.582917,3.61446,4.290166,12.63106
3727,29816,48.74689,23.83057,6.0961,-0.4566408,-3.65796,-6.169981,-7.866848,-8.34586,-9.41575,-7.04148,3.793444,4.681037,11.8553
3728,29824,49.02805,23.87817,6.081857,-0.4331025,-3.67851,-6.139834,-7.856769,-8.330556,-9.410968,-7.80575,3.430506,4.332549,12.51208
3729,29832,49.11074,23.95751,6.086604,-0.4331025,-3.663097,-6.119736,-7.861809,-8.330556,-9.348802,-6.84277,3.604517,4.276038,13.15458
3730,29840,49.3092,24.1162,6.0961,-0.414272,-3.637409,-6.119736,-7.84669,-8.31015,-9.339237,-6.847865,3.326099,4.478538,12.05519
3731,29848,49.34779,24.04214,6.195802,-0.3907338,-3.647684,-6.08959,-7.84165,-8.294847,-9.353583,-5.991881,3.102371,3.739178,13.47821
3732,29856,49.45254,24.06859,6.219541,-0.362488,-3.632272,-6.079541,-7.831571,-8.294847,-9.358365,-6.623679,3.460336,4.59156,12.53588
3733,29864,49.57382,24.17967,6.210045,-0.3577803,-3.616859,-6.069492,-7.816453,-8.284643,-9.353583,-6.980338,3.66915,4.850572,12.59775
3734,29872,49.31472,24.2114,6.081857,-0.362488,-3.580896,-6.074516,-7.816453,-8.279542,-9.353583,-7.189239,3.664178,4.681037,12.56919
3735,29880,49.57933,24.33835,5.896695,-0.3483651,-3.55007,-6.064468,-7.826532,-8.248934,-9.353583,-7.255476,3.694008,4.549177,12.77384
3736,29888,49.41946,24.21669,6.081857,-0.3389498,-3.580896,-6.079541,-7.776135,-8.254035,-9.34402,-6.379112,3.410619,4.280747,12.56919
3737,29896,49.65651,24.17967,6.181559,-0.3577803,-3.611721,-6.039346,-7.786214,-8.26934,-9.363148,-6.67463,3.445421,3.871039,13.40682
3738,29904,49.7392,24.29604,6.129334,-0.310704,-3.570621,-6.034321,-7.796294,-8.259137,-9.34402,-7.036385,3.922709,4.577433,12.96897
3739,29912,49.87703,24.35951,6.229036,-0.2730429,-3.544933,-6.004175,-7.806373,-8.228528,-9.320109,-5.986786,3.937624,4.163015,13.56388
3740,29920,49.93767,24.48116,6.281262,-0.2353818,-3.473006,-6.014224,-7.761016,-8.223427,-9.277072,-7.087336,3.778528,4.902374,13.20693
3741,29928,49.80536,24.59224,6.15782,-0.2683353,-3.503832,-5.994126,-7.781175,-8.213224,-9.310546,-7.703847,3.7835,4.977722,12.63106
3742,29936,50.10305,24.53935,6.286009,-0.2353818,-3.493557,-5.984077,-7.766057,-8.218326,-9.305763,-7.459281,3.684065,4.930629,13.7828
3743,29944,49.96523,24.55522,6.404703,-0.1835978,-3.467869,-5.994126,-7.766057,-8.203021,-9.310546,-7.907653,3.952539,4.808188,13.06891
3744,29952,49.98177,24.54993,6.437937,-0.1600597,-3.447319,-5.99915,-7.735818,-8.213224,-9.300982,-8.442642,3.992313,5.189641,13.25452
3745,29960,50.13613,24.54464,6.409451,-0.1600597,-3.442181,-5.994126,-7.740858,-8.218326,-9.300982,-8.575116,3.604517,5.095455,13.05464
3746,29968,49.98729,24.53935,6.480667,-0.1412292,-3.431906,-6.009199,-7.740858,-8.218326,-9.2962,-8.315264,3.89785,5.038943,12.76432
3747,29976,50.00933,24.68745,6.380964,-0.1506444,-3.431906,-6.009199,-7.735818,-8.218326,-9.2962,-8.320359,3.579659,5.048362,12.68341
3748,29984,50.2078,24.66629,6.490162,-0.1318139,-3.421631,-5.989101,-7.7207,-8.223427,-9.2962,-7.978985,3.375817,4.643363,13.0356
3749,29992,50.2519,24.68745,6.532892,-0.1176909,-3.421631,-5.958955,-7.730779,-8.213224,-9.286635,-7.698752,3.75367,4.79406,12.86427
3750,30000,50.32908,24.73505,6.509153,-0.09415281,-3.437043,-5.938858,-7.7207,-8.192819,-9.291417,-7.494947,3.997285,4.921211,13.74473
3751,30008,50.18023,24.67158,6.561378,-0.1223986,-3.467869,-5.938858,-7.7207,-8.187717,-9.281854,-6.638964,4.156381,5.293245,14.02552
3752,30016,50.07549,24.66629,6.613604,-0.1365215,-3.467869,-5.933833,-7.70558,-8.192819,-9.2962,-5.451797,3.694008,4.436154,12.47401
3753,30024,50.08651,24.64513,6.551883,-0.155352,-3.473006,-5.943882,-7.70558,-8.203021,-9.281854,-5.823742,3.679093,4.285456,13.45917
3754,30032,50.30152,24.74034,6.475919,-0.1035681,-3.406218,-5.958955,-7.700541,-8.182616,-9.272289,-6.924292,3.763613,5.114292,13.08795
3755,30040,50.12511,24.70861,6.59936,-0.08473754,-3.38053,-5.974028,-7.685422,-8.187717,-9.267508,-7.922938,3.5548,5.420396,12.04567
3756,30048,50.2519,24.70332,6.670577,-0.07061458,-3.365117,-5.958955,-7.700541,-8.192819,-9.272289,-8.330549,3.89785,5.448652,13.54484
3757,30056,50.21882,24.661,6.661081,-0.08473754,-3.38053,-5.958955,-7.725739,-8.182616,-9.281854,-8.019746,3.992313,5.250861,13.43062
3758,30064,50.31254,24.70861,6.632595,-0.06119931,-3.35998,-5.958955,-7.725739,-8.187717,-9.277072,-8.463023,3.768585,5.811267,13.51152
3759,30072,50.10305,24.74034,6.623099,-0.07061458,-3.344567,-5.958955,-7.7207,-8.19792,-9.286635,-8.269408,4.370166,5.547547,12.74052
3760,30080,50.27395,24.75092,6.632595,-0.1129833,-3.390805,-5.95393,-7.7207,-8.19792,-9.243598,-7.235095,3.798415,4.718711,14.0636
3761,30088,50.04792,24.68745,6.68482,-0.09886038,-3.40108,-5.963979,-7.70558,-8.19792,-9.238815,-7.62742,4.042031,5.015397,12.77384
3762,30096,50.27946,24.61869,6.623099,-0.09886038,-3.411355,-5.984077,-7.71062,-8.203021,-9.272289,-7.204524,3.75367,4.252491,12.53588
3763,30104,50.06446,24.68745,6.556631,-0.08944511,-3.421631,-5.969004,-7.71566,-8.203021,-9.272289,-8.009556,3.510054,4.935338,13.19265
3764,30112,50.29601,24.69274,6.442685,-0.1035681,-3.437043,-5.95393,-7.740858,-8.19792,-9.277072,-7.550993,3.703952,4.883537,13.12126
3765,30120,50.15267,24.72976,6.466424,-0.07532227,-3.411355,-5.95393,-7.725739,-8.172413,-9.286635,-7.62742,4.081805,5.053071,13.27356
3766,30128,49.95421,24.63456,6.485415,-0.1176909,-3.442181,-5.969004,-7.725739,-8.182616,-9.286635,-7.24019,4.027116,5.090746,13.13554
3767,30136,49.91562,24.59224,6.542387,-0.1271062,-3.442181,-5.974028,-7.71062,-8.19792,-9.2962,-7.04148,3.838189,5.12842,12.45021
3768,30144,50.00382,24.58166,6.513901,-0.1459367,-3.462731,-5.984077,-7.71062,-8.213224,-9.2962,-7.958605,3.420562,4.525631,12.02188
3769,30152,49.84395,24.51819,6.45218,-0.1600597,-3.447319,-5.99915,-7.735818,-8.19792,-9.305763,-7.882177,3.733783,5.13313,13.19265
3770,30160,49.77779,24.47587,6.556631,-0.155352,-3.488419,-5.989101,-7.725739,-8.208123,-9.305763,-7.153573,4.027116,4.784642,13.05939
